"support_wind_turbines","proximity_to_proposed","env_concern","trust_in_government","left_right_ideology","age","income","educ"
1,0,2,1,1,25,32803,3
0,1,1,1,0,45,18561,1
1,0,3,0,1,67,69806,1
0,0,2,1,0,43,30980,3
1,1,2,0,1,71,92512,1
1,0,2,1,0,40,33658,2
1,0,2,0,0,37,79564,2
1,0,2,1,1,68,56303,3
0,0,1,1,0,71,26374,2
1,1,3,1,0,76,82372,3
0,0,1,1,1,70,94613,3
0,0,3,1,0,51,28058,1
1,0,3,0,0,41,59793,3
1,0,2,0,0,84,83428,3
1,0,1,1,0,36,25806,3
1,0,1,1,0,46,75679,1
0,0,3,0,1,29,12059,1
0,0,2,0,0,63,33264,2
1,0,2,1,0,22,58881,1
1,1,3,1,0,73,36709,2
1,0,3,0,0,22,78896,2
1,0,2,0,0,39,76509,1
1,0,3,0,0,73,44226,2
1,0,3,1,0,48,32177,2
0,0,2,0,1,72,46076,3
0,1,1,1,1,65,90440,1
1,0,3,1,1,32,77516,2
1,1,3,0,1,39,57626,2
0,1,1,0,1,68,86659,3
1,1,2,1,1,47,33984,1
0,1,1,0,0,71,39383,2
0,0,1,1,0,48,28198,3
1,0,3,1,1,77,38014,1
1,1,1,1,1,74,71918,1
1,1,3,0,1,47,31663,2
1,1,2,0,0,30,77682,2
1,1,1,1,1,18,62273,3
1,0,2,1,0,54,76244,3
1,0,3,1,1,38,77616,2
1,0,2,0,0,72,56356,1
1,1,1,1,0,43,94556,2
1,0,2,1,1,40,94538,1
1,0,3,1,0,72,24182,3
1,0,2,0,1,85,65005,1
0,0,1,0,0,57,73982,2
1,0,1,1,1,76,92202,1
1,0,1,0,1,75,47166,2
1,1,2,0,1,18,73100,2
0,1,2,1,1,55,44213,3
0,1,2,0,0,66,38627,1
1,0,2,1,1,49,83219,1
1,1,1,1,1,82,64768,1
1,0,1,0,0,57,69217,3
1,0,1,1,1,42,86532,1
1,0,1,1,0,81,82184,2
1,1,1,0,0,43,83295,1
1,0,3,1,1,23,62715,3
1,0,2,0,0,66,77137,2
1,0,2,1,0,34,19973,3
1,0,1,0,0,77,30105,3
1,0,1,1,0,56,90605,2
0,0,2,1,0,42,22868,3
1,0,2,1,1,43,51188,2
1,0,1,1,0,20,92546,2
1,1,1,0,0,82,73640,3
1,0,3,1,1,77,13711,1
1,0,1,1,1,44,39321,3
1,0,1,0,1,58,66156,2
0,1,1,0,1,43,40446,1
0,0,2,1,1,63,12132,2
1,0,3,0,0,80,26633,2
1,0,2,1,1,84,89936,2
1,1,1,1,1,38,53151,2
1,0,3,1,1,66,26308,2
1,1,3,1,0,54,65629,1
1,0,2,0,0,73,20598,1
1,0,2,0,0,41,57695,1
1,0,2,1,0,49,26534,1
1,0,2,0,1,46,56815,1
1,0,3,1,1,69,63554,2
0,0,2,1,1,34,13541,1
1,0,2,0,0,82,90188,2
1,0,1,0,1,56,54980,3
0,1,1,0,1,81,52697,3
1,1,1,1,0,50,56091,2
1,0,1,0,0,30,56270,2
0,1,1,0,1,47,37100,2
1,0,1,0,1,33,94547,3
1,0,1,1,0,77,81552,3
0,0,1,1,1,79,47531,2
1,0,2,0,0,62,41421,2
1,0,3,0,1,69,17846,1
1,0,2,0,0,25,45511,3
1,0,1,0,1,40,45962,2
1,0,1,0,0,69,99676,2
1,0,3,0,0,80,45913,1
1,0,2,0,1,43,48182,2
1,0,1,0,0,19,26785,2
1,1,1,1,0,34,15065,1
1,0,2,1,1,43,20373,1
1,0,3,0,0,71,48313,2
1,0,3,1,0,64,61337,3
1,0,3,0,1,34,89078,1
1,0,1,0,0,58,34890,2
0,1,2,1,0,35,29778,1
1,0,3,1,1,80,78140,3
1,0,3,1,0,61,39222,1
1,0,2,0,1,46,43946,3
1,0,3,1,0,63,39315,1
0,1,1,1,1,52,24958,2
1,0,1,1,1,42,97776,3
1,0,3,1,0,75,39884,1
0,1,2,0,0,48,41997,1
1,0,3,0,0,84,62363,2
1,0,2,0,1,50,64838,2
1,1,3,0,1,52,32207,3
1,0,1,1,1,41,37872,2
0,1,1,1,0,40,30149,2
0,1,3,1,1,43,25872,3
1,0,2,0,0,67,67597,1
1,1,1,1,0,43,99540,1
1,0,1,0,0,84,87680,1
1,0,3,0,1,82,72678,2
0,1,1,1,0,47,58456,2
1,0,3,1,1,20,24571,3
0,0,1,1,1,45,23251,1
1,0,3,0,0,39,95292,2
1,0,1,0,1,41,66288,1
0,0,1,1,1,23,10552,2
1,0,1,0,1,33,54580,1
1,0,3,0,1,68,47595,1
0,0,2,1,0,38,21886,1
1,1,1,0,1,40,98232,2
0,0,2,0,1,53,39201,2
1,0,3,1,1,66,78042,3
0,0,1,1,0,29,55081,1
1,0,2,0,0,23,62662,1
1,0,3,1,0,45,27820,2
1,0,3,0,0,30,96150,2
1,1,1,0,0,46,75206,2
1,1,2,1,1,36,17336,1
1,0,2,1,0,81,87985,3
1,0,1,0,1,78,80082,3
0,0,1,0,0,70,27264,2
0,0,3,1,0,65,20423,1
1,1,1,1,1,43,89110,2
0,0,1,1,0,58,52782,3
1,0,1,1,0,37,10102,3
1,0,2,1,1,59,23883,2
1,0,2,0,0,47,19960,2
0,0,1,0,1,61,55322,2
1,0,1,1,0,42,59991,1
1,0,1,1,0,33,57945,2
1,1,3,1,1,33,41316,2
0,1,1,0,1,78,50892,1
0,0,1,1,1,50,68319,1
1,0,3,1,1,21,31560,2
0,0,1,0,1,19,41339,2
1,0,3,1,1,56,60714,2
0,0,2,0,1,36,16830,1
1,1,2,1,0,76,66510,1
1,0,1,1,0,68,55089,2
0,0,1,0,1,63,31200,1
1,0,3,0,1,72,21099,2
1,1,1,0,0,18,80394,2
1,0,2,1,0,29,40562,2
1,0,3,1,1,58,71527,1
0,1,1,1,0,66,55226,1
0,1,1,0,1,56,12624,3
1,0,2,0,1,49,94581,1
0,0,3,1,1,65,84022,1
1,0,3,1,1,73,65386,2
0,0,2,1,0,34,35608,1
0,0,1,1,1,37,19979,2
0,1,2,1,1,24,30552,1
0,0,3,1,0,54,13692,1
0,1,2,1,1,49,20471,1
1,1,3,0,0,38,65902,2
1,1,2,0,1,25,72780,2
0,1,3,1,1,71,25184,1
1,0,2,0,0,58,49854,2
1,0,3,1,1,54,82434,2
1,0,1,1,1,45,82414,1
1,0,1,0,1,67,56792,3
0,0,2,0,1,59,16796,1
1,0,1,0,0,38,62506,2
0,0,1,0,1,61,18883,3
1,1,1,1,1,77,81770,1
1,0,3,0,0,66,62361,1
0,0,1,0,0,62,24193,1
1,0,2,1,0,37,77189,1
0,1,1,0,1,83,18412,1
0,0,1,0,0,64,27379,2
1,0,3,1,0,31,12398,2
1,0,3,0,1,52,15882,1
1,1,3,1,1,33,90260,2
1,0,1,1,0,43,56236,3
1,1,3,1,1,28,71006,2
1,1,3,0,1,42,83516,2
1,0,2,1,1,40,91562,1
1,0,3,1,1,37,14118,2
1,0,3,0,0,60,97553,2
1,0,2,1,0,18,12585,1
1,1,2,1,1,60,76691,1
1,0,1,0,0,18,35260,1
1,0,1,1,1,85,64287,3
1,1,3,0,1,67,61395,3
1,0,1,1,0,59,40383,2
1,0,3,0,0,49,10768,1
1,0,1,0,1,20,83091,1
0,0,1,1,1,38,65599,1
1,0,3,1,1,48,99278,1
1,1,1,1,1,19,93689,2
1,0,2,1,0,65,28333,3
1,0,1,0,1,46,46800,1
1,0,3,0,1,28,63795,3
1,1,2,0,0,59,33267,1
1,0,3,0,0,48,67024,3
1,0,2,0,1,33,63433,3
1,0,1,1,1,42,74521,1
1,0,3,0,0,75,52343,3
1,1,2,0,0,39,65615,1
1,0,3,0,0,41,41149,2
0,1,1,1,1,54,14798,1
1,1,3,1,0,21,77031,1
1,0,3,1,1,28,92400,1
1,0,3,1,1,62,36154,2
1,0,1,1,0,48,37314,1
1,1,1,0,1,23,29799,2
0,0,2,0,1,29,10532,3
1,0,3,0,1,69,99656,1
1,0,3,0,1,82,31372,1
0,0,1,1,1,84,16325,1
1,0,3,0,0,20,14361,1
1,1,1,1,1,46,48141,1
1,0,3,1,1,22,49723,1
0,1,3,0,1,34,50993,1
1,0,3,0,0,77,62785,3
1,0,3,1,0,31,37564,2
0,1,1,1,1,74,53341,3
1,0,3,1,0,79,22178,1
0,0,2,0,1,38,28415,1
1,0,2,1,0,64,59397,1
0,1,2,0,1,23,56955,1
0,0,1,0,0,76,56134,1
1,1,2,1,0,72,20653,2
1,1,3,1,0,65,72074,2
1,0,3,1,0,24,77928,1
1,0,1,1,1,47,86228,2
0,0,2,0,0,50,20677,1
1,0,3,0,0,73,55910,1
1,0,3,1,1,48,53586,3
1,0,3,1,1,40,51530,2
0,1,1,1,1,74,35034,2
1,0,3,1,1,43,50132,1
0,1,1,0,0,60,67102,3
1,0,1,0,1,36,48560,1
0,0,1,1,0,84,38051,2
1,0,1,0,1,24,23415,2
1,0,3,1,1,35,82719,2
1,0,3,0,0,48,44362,2
1,0,1,0,0,69,60241,1
1,1,2,1,1,40,78740,1
1,0,3,1,1,67,20835,1
1,0,1,0,1,82,10460,1
1,0,3,0,0,39,54397,2
1,1,3,0,0,44,73417,1
1,0,2,0,0,78,26469,2
1,0,2,0,1,26,39930,1
1,0,2,1,1,62,40955,2
0,0,1,0,1,60,28842,2
1,1,1,1,0,30,37568,2
0,1,3,0,0,80,12379,2
1,0,2,0,0,68,33447,2
1,0,3,0,0,72,77785,1
1,0,3,0,0,48,55441,1
1,0,3,0,0,26,77902,1
0,0,1,0,1,70,51124,1
1,0,2,1,0,81,56765,1
1,0,1,0,1,33,87366,2
1,0,3,1,0,42,74963,1
0,0,2,0,0,18,21149,2
1,0,3,1,1,35,50709,2
0,1,2,0,1,78,33374,1
0,0,3,1,0,78,24681,1
1,0,2,0,0,45,41332,3
1,0,2,1,1,67,94598,2
0,0,1,0,0,69,32089,2
1,0,2,0,0,36,29451,2
0,0,2,0,1,48,22077,3
1,1,2,0,1,69,88475,3
1,0,1,1,1,70,70446,1
1,1,1,1,1,33,57780,1
1,0,1,1,1,43,25826,2
1,0,2,1,0,28,43945,2
1,0,1,0,1,82,60807,3
1,1,2,0,1,60,75109,1
0,0,1,1,1,56,64693,3
0,0,1,1,1,23,48018,3
1,0,1,1,1,25,58325,2
1,0,1,0,0,72,78436,2
1,0,2,0,1,34,67056,2
1,0,1,0,0,55,92381,1
1,0,1,1,0,18,18970,1
0,0,1,0,1,41,51392,1
1,0,1,1,0,67,84617,2
1,0,2,0,1,74,69565,2
1,1,3,1,1,23,34112,2
1,1,2,1,0,72,61710,3
1,0,1,1,0,73,73891,3
1,0,3,1,0,68,66067,1
1,1,3,1,1,72,64222,2
1,0,1,0,1,67,99907,1
1,0,3,0,0,77,39141,2
1,0,2,0,0,35,12604,3
1,0,1,0,1,46,81578,1
1,0,2,1,1,81,89587,1
1,0,1,0,0,40,19430,2
0,1,2,0,0,62,27833,1
1,0,3,0,0,36,82150,2
1,0,2,1,0,39,18968,2
0,1,1,0,0,71,73565,1
0,1,1,1,1,73,94672,1
0,0,2,1,1,61,11092,1
1,0,3,1,0,38,22911,3
0,0,2,1,1,62,21544,1
1,1,3,0,0,29,74749,2
1,0,3,1,1,19,96362,3
1,1,1,0,0,79,83088,1
1,0,3,0,1,75,82910,3
1,0,1,1,1,58,80397,3
1,1,1,1,0,28,77640,3
1,0,1,0,0,80,65124,1
1,1,1,0,1,51,76818,3
1,0,2,0,0,28,85110,2
1,1,2,0,0,49,27702,2
1,0,1,0,0,36,74333,2
1,0,1,1,1,28,89745,1
1,0,2,0,1,80,60134,3
0,1,2,1,0,81,15398,1
1,0,1,0,1,56,29862,1
1,1,3,0,1,69,18604,1
1,0,3,0,1,39,44137,3
1,0,1,1,0,72,88017,1
0,0,1,0,0,82,44078,2
1,1,3,0,0,46,58007,1
1,0,1,0,0,81,88040,1
1,0,1,0,0,64,99532,2
1,0,1,1,1,57,83499,2
1,0,3,0,0,80,84075,1
1,0,2,0,1,65,68111,1
1,0,2,0,0,75,61884,2
0,1,1,0,1,19,98806,3
1,0,3,0,1,80,74214,3
1,1,1,0,1,28,62752,1
0,0,2,0,0,49,17429,2
1,0,3,0,1,31,68766,1
1,1,1,1,0,40,82091,2
1,0,2,0,0,71,54393,1
1,0,3,1,0,75,60315,2
1,1,3,0,0,45,99971,2
1,0,3,0,0,43,38828,2
1,0,1,1,0,72,77688,2
1,0,3,1,0,79,81294,3
0,0,1,0,1,78,41168,1
1,0,1,0,1,49,21113,3
1,0,1,1,0,80,73604,3
1,0,2,1,0,32,78312,1
1,0,1,1,0,48,96519,2
1,1,3,0,0,31,20900,2
1,1,3,0,1,41,33593,1
1,1,2,1,0,66,54966,3
1,0,2,1,0,34,36120,2
1,0,3,0,1,60,81031,2
1,0,1,0,0,24,92426,1
0,0,2,1,1,19,32581,1
1,1,1,0,0,36,58011,2
1,0,2,1,1,83,69732,2
0,0,1,0,1,65,37690,3
1,1,2,1,0,65,99034,3
0,0,1,0,1,63,48087,3
1,1,2,1,1,47,95935,1
1,0,3,1,1,61,52388,1
1,0,2,0,0,54,32285,1
1,0,3,1,0,51,46931,1
0,0,2,1,1,56,19173,2
1,0,2,0,1,64,17679,2
1,0,2,0,1,66,89225,2
1,0,2,0,1,73,44055,1
1,1,2,1,1,29,41736,3
1,1,3,1,0,39,90756,2
1,0,3,1,0,52,80592,3
1,0,3,1,0,59,96492,3
1,0,2,1,1,79,66244,3
0,1,3,0,1,61,24762,2
1,0,1,1,0,33,65347,1
1,0,3,1,0,22,37751,1
1,0,2,1,1,33,73923,1
0,0,2,0,1,59,56734,1
1,1,2,1,1,65,40669,3
1,0,2,0,0,60,84281,2
1,0,2,1,0,36,19696,2
0,0,1,0,0,58,16511,1
1,0,2,0,0,64,97789,3
1,0,2,0,1,26,91594,2
0,1,2,0,0,71,42281,3
1,0,1,1,0,51,28376,3
1,1,1,0,0,57,32183,2
1,1,3,0,0,48,64176,2
1,1,3,0,0,19,74428,1
1,0,3,0,0,29,39590,3
0,0,2,1,1,56,16582,1
1,0,3,1,1,75,15654,3
1,0,1,1,1,27,75969,2
0,0,1,0,1,52,31369,2
0,1,1,0,1,55,42955,2
1,0,3,0,0,52,30727,3
1,0,1,1,1,44,55949,2
1,1,3,1,0,36,45539,3
1,0,2,0,1,19,16021,3
1,0,2,1,1,42,30714,1
1,1,1,0,1,34,86397,1
0,0,2,0,0,73,45804,2
1,0,1,1,1,80,82218,2
1,0,2,0,1,76,69901,2
0,0,1,1,1,58,19312,2
1,0,2,0,0,62,69864,1
1,0,1,0,1,31,43025,1
1,0,1,0,1,65,44284,1
1,0,2,1,0,47,28527,2
0,1,2,0,0,76,19606,2
1,0,3,0,1,34,98645,1
0,0,2,0,0,76,58451,3
1,0,3,1,1,19,93705,1
1,0,2,1,1,27,39459,3
1,1,3,0,1,66,54883,2
1,1,2,1,1,82,51438,1
1,0,3,1,1,72,88623,2
1,1,2,1,0,22,66287,2
0,0,2,0,1,75,28401,1
1,1,2,1,0,79,73203,2
1,0,1,0,0,55,85853,2
1,1,1,1,0,41,68586,1
0,1,1,0,1,45,59058,3
1,0,1,1,0,64,50583,3
1,0,3,0,1,74,52349,2
1,0,1,0,0,39,66569,3
1,0,3,1,1,43,66513,1
1,0,1,1,0,83,36788,1
1,0,1,0,0,32,62334,2
0,0,1,1,1,68,15593,3
0,1,3,0,0,85,34313,2
0,0,2,0,1,54,28021,2
1,0,3,0,1,41,77655,3
1,0,3,1,1,52,48720,2
1,1,1,0,1,51,46292,1
1,0,1,0,0,48,98174,1
1,0,2,1,0,69,75220,1
1,0,1,0,1,37,93030,2
1,0,1,0,1,80,71215,3
1,0,1,0,1,48,90293,1
0,0,1,1,0,66,31978,1
1,0,2,1,0,74,78011,1
1,1,3,0,0,22,39848,2
1,1,2,0,1,79,88778,1
1,0,1,0,0,52,64892,1
1,0,3,0,1,84,25624,2
1,0,3,0,0,46,78270,3
1,0,3,1,0,79,66976,1
1,0,3,0,1,21,44915,1
0,0,1,0,1,47,26540,1
0,0,3,1,1,61,41661,1
1,1,2,0,0,35,67608,1
1,0,1,1,1,18,39281,2
1,0,3,0,1,41,54356,2
1,0,3,1,1,85,55998,2
1,0,2,1,1,67,92318,3
1,1,3,1,0,63,74946,1
0,0,1,1,0,46,11038,1
0,0,1,0,1,45,18606,2
1,0,3,1,1,61,91511,2
1,0,1,0,0,44,13688,2
1,0,2,0,1,72,51602,3
1,0,3,1,1,72,46860,2
1,1,2,0,1,40,97948,3
0,0,2,0,0,83,29094,1
0,0,1,1,0,22,34389,2
0,1,2,1,0,69,27830,1
0,1,1,0,0,52,22760,1
1,0,2,0,0,38,59667,1
1,0,2,0,0,67,58980,2
1,0,1,1,0,25,68647,2
0,1,1,0,1,64,82887,1
1,0,2,1,1,84,47476,2
1,0,3,1,1,28,58712,3
1,0,2,0,0,29,53548,2
0,0,3,0,1,49,16215,1
1,1,2,0,0,41,27726,1
1,1,1,1,0,46,25596,2
1,0,3,1,1,51,54021,1
1,1,1,1,0,59,60617,1
1,1,1,0,1,85,95627,3
0,0,2,0,0,48,48814,3
0,0,1,0,1,70,71160,2
1,0,3,1,1,49,98448,1
1,0,1,0,0,52,65933,1
1,0,1,1,0,25,71943,1
1,0,2,1,0,67,19011,1
1,0,1,1,1,55,45854,1
1,1,1,0,1,18,90476,1
1,1,3,0,0,59,81021,1
1,0,1,1,0,51,89824,2
1,1,3,0,1,22,39893,2
1,0,1,0,0,51,88468,2
0,1,2,1,0,72,57859,1
1,0,1,1,0,80,74965,3
0,0,1,1,1,33,64029,1
0,1,1,0,0,57,59787,2
1,0,2,0,1,43,91223,2
1,0,2,1,0,36,91566,2
1,1,2,1,1,45,12027,3
0,0,1,1,0,41,15961,2
0,0,1,1,1,29,59623,1
1,0,3,1,0,32,38018,2
1,0,2,0,0,33,93321,3
1,0,1,1,1,40,97335,2
0,0,1,0,1,52,43442,3
1,0,2,1,1,31,30303,1
1,0,2,1,0,79,35400,2
0,0,2,1,1,72,13431,2
0,1,1,0,1,84,83344,3
1,1,1,1,0,54,58775,2
1,1,3,0,1,74,48975,1
1,0,2,1,1,49,69421,2
1,1,2,0,1,50,88597,2
1,0,1,1,1,62,79609,1
1,0,3,1,0,51,43135,3
1,1,2,0,1,46,80988,2
1,0,2,1,1,79,49401,1
1,0,1,1,1,67,14151,2
1,0,1,1,1,50,24561,2
1,1,1,1,0,18,72534,1
1,1,2,0,0,58,46442,3
1,0,3,1,1,25,29040,1
1,1,3,0,0,61,88251,1
0,0,1,0,0,56,52538,1
1,1,3,0,0,18,71444,1
1,1,2,1,0,81,84492,2
1,0,3,1,0,22,51256,2
1,1,3,1,1,26,99687,2
1,0,1,0,0,60,72704,3
1,0,3,1,1,52,59787,1
1,1,2,0,1,80,90272,2
1,1,3,1,1,32,98604,1
1,1,3,1,1,53,93797,1
1,0,2,1,0,58,27629,3
1,0,2,0,1,57,90817,2
1,0,2,1,0,76,95053,2
1,0,3,1,0,81,97300,3
1,1,3,1,0,64,50021,3
1,1,2,0,1,48,40971,3
1,0,2,0,1,71,79986,2
0,1,2,1,1,33,38995,2
1,1,2,0,0,61,82132,2
1,1,3,1,1,46,80151,2
1,0,2,0,1,67,53786,2
1,0,2,1,0,65,51954,1
1,0,1,0,1,56,88925,2
0,0,1,0,0,27,15950,2
1,0,2,1,0,81,45869,1
0,0,1,1,1,57,11417,1
1,0,1,1,0,54,70621,1
1,0,2,1,1,59,54992,3
1,0,2,0,1,20,34685,3
0,1,1,0,0,24,46076,2
1,0,2,0,1,51,23161,2
0,0,1,1,0,42,25569,2
1,0,1,0,0,62,97065,2
1,0,3,0,0,56,24856,1
0,0,1,1,1,80,96268,3
1,1,2,0,1,37,81174,3
1,1,2,0,1,53,91427,3
1,1,3,0,0,24,49092,3
1,0,2,0,0,20,69325,3
1,0,3,0,0,70,60278,1
0,0,1,0,1,39,18960,2
1,0,2,0,1,83,45634,1
1,0,1,1,0,76,45635,2
0,1,1,0,0,36,10173,3
1,1,1,1,0,49,64828,1
1,0,1,0,0,82,88106,1
0,0,1,1,0,53,12304,2
1,1,3,1,0,24,76593,3
1,1,2,1,0,70,30224,2
1,0,2,0,1,40,77958,1
1,0,2,1,0,30,63742,2
1,1,1,0,1,32,62967,3
1,1,2,1,0,23,81693,1
0,0,2,0,1,44,18180,2
0,0,1,0,1,81,43208,1
1,0,3,1,0,39,44797,2
0,0,1,0,1,67,29234,2
1,0,2,1,0,32,70948,3
1,0,3,0,1,57,46830,2
1,0,3,0,0,43,79209,2
0,0,1,0,1,83,11899,2
1,0,3,0,0,83,29473,3
0,1,1,1,0,55,34877,2
0,1,3,1,1,60,47830,2
1,1,3,1,1,18,20030,1
1,1,1,0,0,33,81789,2
1,0,3,0,1,56,61081,2
1,0,3,1,1,81,56839,3
1,0,3,1,0,37,74672,1
1,0,2,0,1,62,91491,2
1,1,2,0,0,82,71042,2
1,0,1,0,1,34,77891,1
0,0,2,0,0,48,30835,2
0,0,1,1,0,60,33437,2
0,0,1,0,1,83,45259,1
1,0,1,1,0,38,75556,3
1,0,3,0,0,35,96283,3
1,0,3,0,1,48,63829,1
1,1,2,1,0,24,98572,3
1,0,1,1,0,53,78277,2
1,1,3,1,1,31,83643,1
0,1,1,0,1,20,29274,2
1,1,1,0,0,67,14820,1
1,1,1,0,0,32,27983,3
1,0,3,1,0,65,31468,2
1,0,2,1,0,46,17606,2
1,0,1,0,0,40,43600,1
1,0,3,1,0,64,16904,2
1,0,1,0,0,77,86782,1
1,0,3,0,1,21,35678,3
1,0,3,0,1,49,82238,3
1,0,2,0,1,54,84024,1
1,0,3,0,0,47,90985,2
1,0,2,1,0,24,64753,2
1,1,1,1,1,75,85007,2
0,0,2,0,0,25,43114,2
1,0,3,0,0,44,35073,2
1,0,1,1,1,52,97595,2
0,0,1,1,1,48,54185,3
1,0,3,0,0,50,68660,1
1,0,3,1,0,37,27117,1
0,0,1,1,1,21,64089,3
1,1,1,1,1,78,65256,1
1,0,1,1,0,51,68617,2
1,1,3,1,1,29,54346,3
1,1,2,0,1,27,67154,2
0,0,1,0,1,71,63710,1
1,0,1,0,1,32,47662,2
1,0,3,1,1,79,25786,3
1,0,1,1,0,35,99722,1
1,0,3,1,1,43,87947,2
0,0,1,0,0,30,75016,1
1,0,1,0,1,55,58116,2
1,0,1,0,1,24,74296,1
1,0,3,0,0,48,40187,2
1,1,2,0,1,75,97722,3
1,0,2,0,0,32,59690,2
1,0,3,0,1,43,41343,2
1,1,3,0,1,66,76218,1
1,0,2,1,0,20,79441,1
1,1,2,1,1,22,61377,1
